,city,lat,temp,cloudiness,humidity,pressure,wind
245,mount isa,-20.73,32.0,0,19,1012.0,5.1
246,kyshtovka,56.56,-24.85,56,60,1024.29,1.45
247,chone,-0.7,23.58,92,97,1000.87,1.6
248,vagur,61.47,4.05,0,100,1025.27,8.7
249,noumea,-22.28,32.0,0,38,1002.0,1.5
250,gamba,28.28,-28.6,12,31,559.33,1.0
251,hasaki,35.73,0.0,75,100,1028.0,3.6
252,keflavik,64.0,-2.0,40,86,1008.0,3.1
253,rabaul,-4.2,26.23,68,100,1010.51,4.4
254,rio gallegos,-51.62,10.0,20,39,1013.0,7.7
255,san cristobal,-0.39,15.0,75,87,1023.0,3.1
256,port macquarie,-31.43,28.0,0,48,1006.0,3.6
257,lexington,38.05,4.0,90,93,1025.0,1.5
258,lakatoro,-16.11,28.5,80,94,1005.57,3.45
259,saint george,39.45,4.0,20,100,1017.0,1.85
260,san isidro,16.74,21.15,44,90,1015.78,0.85
261,bitung,1.44,30.0,20,70,1016.0,2.6
262,tuatapere,-46.13,22.68,32,56,989.36,3.3
263,hebi,35.75,-13.25,8,65,992.84,1.1
264,anadyr,64.73,-22.0,0,69,1012.0,3.0
265,salekhard,66.54,-20.58,48,68,1019.35,3.85
266,caravelas,-17.73,28.33,0,100,1029.0,7.7
267,marshfield,42.09,0.6,1,39,1029.0,3.6
268,moerai,-22.43,26.43,64,100,1026.32,10.6
269,saint-philippe,45.36,-7.0,1,69,1030.0,4.45
270,north bend,43.41,5.6,90,82,1016.0,5.1
271,leicester,52.64,4.0,20,95,1008.0,3.1
272,emba,34.81,10.0,20,81,1019.0,4.1
273,sabang,13.72,25.45,36,87,1023.24,6.0
274,benbrook,32.67,7.0,90,100,1021.0,1.5
275,iqaluit,63.75,-22.0,20,63,1012.0,6.7
276,aguimes,27.91,19.0,0,22,1022.0,2.6
277,port lincoln,-34.72,19.68,92,91,1015.95,7.35
278,mayo,63.59,-19.0,75,77,1022.0,1.5
279,tambacounda,13.77,26.0,48,27,1011.0,2.1
280,talaya,55.79,-23.0,0,69,1025.0,1.0
281,humaita,-24.93,25.0,0,69,1009.0,2.6
282,almeirim,39.21,11.0,0,87,1028.0,2.1
283,mocorito,25.48,24.73,100,49,1020.08,2.7
284,verkhnevilyuysk,63.45,-22.58,68,65,1022.11,3.3
285,at-bashi,41.17,-21.8,12,57,765.31,1.15
286,broome,52.47,3.0,0,86,1008.0,5.1
287,buraydah,26.33,10.0,75,100,1015.0,2.1
288,hambantota,6.12,24.0,5,100,1012.0,3.1
289,egvekinot,66.32,-11.3,56,84,963.34,1.55
290,nouakchott,18.08,22.0,12,10,1013.0,3.6
291,aswan,24.09,8.15,0,87,1007.03,1.85
292,burgos,42.34,4.0,56,80,1025.0,6.2
293,smithers,54.78,-11.0,90,72,1012.0,1.0
294,san quintin,17.54,21.3,0,77,992.28,1.75
295,luderitz,-26.65,18.68,0,73,1008.08,9.25
296,cascais,38.7,11.0,0,87,1028.0,2.1
297,mulege,26.88,19.85,8,47,985.14,1.65
298,tanout,14.97,14.7,0,32,974.04,4.9
299,merritt island,28.54,21.7,75,88,1024.0,3.6
300,fukue,35.03,5.0,75,44,1025.0,4.6
301,talnakh,69.49,-21.08,68,71,1014.24,6.6
302,saint-joseph,43.56,12.0,0,43,1011.0,4.1
303,bagan,54.1,-22.03,76,63,1026.32,1.45
304,sola,58.89,4.0,0,100,995.0,6.7
305,dingle,11.0,25.18,48,73,1010.6,7.05
306,buchanan,5.88,26.0,75,94,1011.0,2.75
307,orocue,4.79,33.68,56,31,1003.79,5.15
308,kalmunai,7.42,23.95,92,96,1011.41,2.55
309,sangin,32.07,7.23,92,78,919.16,2.85
310,muyezerskiy,63.93,1.7,92,89,982.22,4.8
311,hamilton,32.3,15.0,75,58,1031.0,4.1
312,burns lake,54.23,-11.45,64,63,911.46,3.0
313,tazmalt,36.39,10.0,0,93,1023.0,5.7
314,chon daen,16.19,18.0,20,82,1016.0,1.5
315,ha noi,21.02,23.0,75,83,1021.0,4.6
316,atar,20.52,20.73,0,17,1000.06,4.1
317,maragogi,-9.01,25.8,92,91,1018.46,3.9
318,tuy hoa,13.08,22.6,44,100,1017.32,2.65
319,kokopo,-4.34,26.23,68,100,1010.51,4.4
320,kaniama,-7.57,19.4,76,99,920.7,1.05
321,copalillo,18.03,26.65,0,24,895.49,0.8
322,bucerias,20.76,27.0,5,78,1012.0,5.7
323,majene,-3.54,28.08,24,97,1025.02,3.45
324,banepa,27.63,7.0,75,93,1022.0,1.5
325,muriti,-1.99,22.8,80,100,897.52,1.5
326,esmeraldas,-19.76,26.0,0,61,1017.0,3.1
327,helmsdale,58.12,5.0,75,86,1009.0,5.7
328,okhotsk,59.36,-24.68,20,100,1023.0,3.25
329,baikunthpur,23.26,4.5,0,84,967.39,1.4
330,havoysund,71.0,-5.0,88,79,982.0,6.2
331,rauma,61.13,2.0,64,90,991.0,4.1
332,husavik,50.56,-25.4,32,63,1014.41,2.65
333,saint-francois,46.42,5.0,75,80,1017.0,4.1
334,mori,34.86,5.0,75,65,1024.0,2.1
335,grabovo,53.37,-9.4,80,92,1011.08,3.6
336,haibara,34.53,5.0,75,55,1025.0,0.5
337,aklavik,68.22,-9.0,40,56,1016.0,5.1
338,makat,47.65,-13.9,56,80,1044.07,3.45
339,santa marta,11.24,30.0,20,51,1007.0,6.2
340,westport,53.8,7.5,68,92,1019.35,5.05
341,karla,59.37,2.0,75,93,996.0,3.1
342,caceres,5.53,21.83,68,86,910.89,0.75
343,tiksi,71.64,-25.28,56,62,1009.22,7.8
344,tabou,4.42,28.0,0,99,1023.16,3.9
345,goma,-1.67,14.68,32,100,817.43,0.15
346,palmer,61.6,-0.6,90,63,1017.0,5.1
347,touros,-5.2,26.85,64,87,1021.78,5.8
348,lermontovka,47.15,-23.43,0,53,1026.08,1.95
349,pecos,31.42,8.0,90,55,1015.0,1.3
350,dudinka,69.41,-21.78,68,77,1027.94,6.55
351,bemidji,47.48,-12.8,90,84,1024.0,2.6
352,ugoofaaru,5.67,27.68,0,100,1025.02,5.1
353,nanortalik,60.14,0.2,92,90,974.52,13.0
354,pangnirtung,66.15,-25.45,8,42,1002.65,2.3
355,praya,-8.71,28.0,40,78,1014.0,1.5
356,constitucion,23.99,22.0,75,19,1021.0,6.2
357,oranjemund,-28.55,17.7,92,95,1025.43,8.7
358,chernyshevskiy,63.01,-24.6,36,77,1003.62,3.4
359,ayan,40.67,-8.18,24,73,882.84,0.8
360,krasnoslobodsk,54.42,-8.2,88,89,1015.05,4.6
361,batasan,14.89,27.0,40,73,1021.0,3.1
362,itoman,26.12,19.0,90,88,1026.0,4.1
363,koutiala,12.39,18.4,0,31,990.82,4.0
364,fortuna,38.18,14.0,0,58,1023.0,3.1
365,wanaka,-44.7,22.95,8,30,926.13,1.15
366,hofn,64.25,-4.18,56,100,1015.54,1.6
367,kenitra,34.26,8.0,20,93,1027.0,1.5
368,vila velha,-3.71,28.0,75,83,1012.0,6.2
369,champerico,16.38,23.0,5,69,1014.0,7.7
370,nishihara,35.74,2.0,75,47,1027.0,2.6
371,isla mujeres,21.23,26.0,75,74,1018.0,4.6
372,hobyo,5.35,24.7,44,88,1016.03,5.4
373,storsteinnes,69.24,-4.0,88,85,984.0,4.1
374,viet tri,21.3,23.0,75,83,1021.0,4.6
375,horodkivka,49.91,-2.75,68,89,995.68,6.5
376,dabakala,8.36,19.65,0,55,994.87,1.2
377,kavieng,-2.57,28.3,36,100,1023.65,5.85
378,saint anthony,43.97,-5.0,90,80,1003.0,5.7
379,hlukhiv,51.68,-3.43,88,92,1008.08,4.45
380,cadillac,44.25,-6.1,90,82,1024.0,4.6
381,sao miguel do araguaia,-13.28,24.83,32,92,990.09,3.2
382,itaituba,-4.26,24.65,8,96,1012.62,1.15
383,kresttsy,58.25,1.58,88,94,1010.51,5.85
384,ryotsu,38.08,0.0,75,100,1026.0,3.6
385,aripuana,-9.17,26.15,36,90,1006.79,0.9
386,clyde river,70.47,-30.0,1,74,1018.0,2.6
387,hualmay,-11.1,23.6,32,67,984.66,2.3
388,urucara,-2.54,24.15,68,96,1015.78,1.3
389,jackson,35.61,10.0,90,96,1024.0,1.5
390,kangaatsiaq,68.31,-10.9,0,100,1013.43,6.8
391,kerouane,12.23,18.9,56,50,971.36,1.4
392,bushehr,28.97,16.0,90,82,1014.0,4.1
393,kvitok,56.08,-27.05,0,72,1002.89,3.1
394,mount gambier,-37.83,18.0,90,88,1003.0,6.7
395,yar-sale,66.83,-18.78,68,83,1026.4,6.9
396,mazamari,-11.33,19.83,68,96,898.65,0.7
397,batagay-alyta,67.8,-36.18,56,54,934.97,1.2
398,atbasar,51.81,-17.9,68,75,1000.46,2.55
399,jijiga,9.35,10.0,0,79,836.8,1.95
400,sao jose do belmonte,-7.86,29.75,64,39,966.17,3.8
401,tiznit,29.7,13.25,0,71,1018.86,1.75
402,bose,45.46,2.0,90,100,1008.0,0.5
403,jacqueville,5.21,28.0,0,88,1010.0,1.5
404,obihiro,42.92,-14.0,20,55,1023.0,0.5
405,borodino,55.9,-40.7,8,0,1002.98,1.65
406,pampa,35.54,8.9,90,64,1013.0,5.7
407,indramayu,-4.05,21.68,92,98,959.2,1.25
408,villa rica,-10.74,21.55,56,96,931.97,0.8
409,athabasca,54.72,-23.18,48,64,953.12,2.05
410,wukari,7.87,25.7,0,25,1005.41,5.65
411,san vicente,13.64,29.0,40,62,1009.0,3.1
412,adre,13.47,18.4,44,27,933.83,7.15
413,nara,34.68,5.0,75,55,1025.0,0.5
414,rome,41.89,13.0,0,87,1013.0,5.7
415,aitape,-3.15,24.3,92,100,1019.35,3.45
416,iquitos,-3.75,26.0,0,88,1007.0,0.5
417,haikou,20.04,21.0,0,100,1022.0,1.0
418,araouane,18.9,16.9,8,24,997.3,4.45
419,camacupa,-12.02,17.58,92,98,868.74,2.0
420,evensk,61.92,-19.78,20,100,1018.3,5.45
421,la palma,5.36,21.83,68,86,910.89,0.75
422,bilibino,68.06,-32.53,20,39,974.04,1.4
423,fare,-16.7,26.0,24,100,1023.0,1.5
424,koslan,63.46,-3.58,88,79,1001.35,3.65
425,candelaria,3.41,25.0,40,69,1011.0,4.1
426,antalaha,-14.9,24.6,88,97,1012.54,3.45
427,fernie,49.5,-16.0,90,71,1006.0,2.1
428,karratha,-20.74,28.35,0,61,1010.76,2.1
429,srednekolymsk,67.46,-31.68,32,38,1023.81,1.5
430,katobu,-4.94,26.58,56,100,1024.54,1.35
431,waingapu,-9.65,24.48,56,100,991.47,1.85
432,uribia,11.71,26.43,0,57,1018.3,8.7
433,novikovo,45.05,-0.83,88,100,1002.08,1.1
434,asosa,10.07,18.93,0,54,894.11,3.0
435,borzya,50.39,-35.6,0,52,951.18,1.35
436,huadian,42.97,-22.7,0,64,991.87,1.15
437,flinders,-34.58,25.0,0,44,1005.0,4.1
438,sitka,37.17,8.68,48,60,951.99,2.55
439,nemuro,43.32,-10.0,20,72,1023.0,4.1
440,aykhal,65.95,-23.18,44,65,966.9,3.1
441,nome,30.04,19.2,90,79,1020.0,2.6
442,poum,41.28,-4.2,48,84,905.38,0.85
443,namatanai,-3.66,26.9,80,100,1018.62,4.2
444,black river,18.03,26.0,20,69,1015.0,4.1
445,inzer,54.22,-14.05,56,83,967.8,0.1
446,teahupoo,-17.83,31.0,40,62,1009.0,5.1
447,miles city,46.41,-13.9,1,65,1013.0,2.6
448,yarim,14.3,3.55,0,77,781.11,0.7
449,pahrump,36.21,10.0,90,43,1004.0,12.9
450,nargana,9.44,26.85,0,98,1018.94,7.3
451,stromness,42.87,-3.9,90,67,1028.0,4.1
452,ahipara,-35.17,24.58,0,61,1007.03,3.6
453,nizwa,22.93,7.23,0,80,961.23,1.15
454,hauterive,46.09,5.0,75,100,1018.0,1.5
455,luena,-11.78,18.45,92,98,877.33,2.55
456,voi,-3.4,19.68,0,86,931.72,1.5
457,nueve de julio,-31.67,26.9,0,36,929.54,1.75
458,palauig,15.44,24.08,0,90,1002.98,1.85
459,guntakal,15.16,19.1,0,95,981.82,2.35
460,ilebo,-4.33,23.1,56,96,979.23,0.95
461,pizarro,4.95,25.73,12,91,1020.24,1.8
462,camocim,-2.9,26.5,64,85,1016.84,4.25
463,gobabis,-22.45,18.6,56,91,860.8,2.9
464,ust-kuyga,70.0,-29.43,56,60,1000.71,2.1
465,vestmannaeyjar,63.44,0.73,88,100,1015.95,6.15
466,ryde,50.73,4.0,44,86,1011.0,3.6
467,big spring,32.25,11.0,40,72,1016.0,5.7
468,varna,43.22,0.0,12,87,1016.0,1.0
469,bowen,-20.01,30.0,75,70,1007.0,2.1
470,slyudyanka,51.66,-35.33,0,49,926.62,0.75
471,sur,22.57,19.18,0,100,997.79,4.1
472,alugan,12.22,24.75,92,98,1022.35,7.4
473,zhob,31.34,-6.0,12,69,841.99,1.05
474,zhezkazgan,47.8,-25.2,0,60,987.09,1.6
475,alta floresta,-9.87,26.4,32,84,996.41,1.3
476,dauriya,49.93,-34.9,0,48,949.31,1.6
477,northam,51.04,7.0,20,81,1010.0,9.8
478,lashio,22.93,10.83,20,94,936.02,0.95
479,haines junction,60.75,-18.5,0,81,901.81,1.0
480,coihaique,-45.58,12.0,0,46,1014.0,1.0
481,labuan,5.28,28.0,75,78,1014.0,1.5
482,caborca,30.58,14.65,8,35,921.35,3.6
483,piacabucu,-10.41,25.33,92,90,1017.32,4.35
484,juntas,-1.92,18.05,100,100,884.06,1.2
485,sisimiut,66.94,-27.3,0,72,972.9,0.6
486,baryatino,54.31,-2.83,80,94,1000.95,3.4
487,blackwater,51.33,5.0,0,80,1010.0,6.7
488,doka,13.52,22.15,0,23,957.91,6.8
489,faanui,-16.48,25.5,92,100,1024.29,1.65
490,becerril,9.7,23.9,0,52,935.78,1.2
